brand,brandID,cat_1,cat_2,cat_3,cat_4,country,fb_avg_comments_num,fb_avg_comments_num_growth,fb_avg_comments_num_merged,fb_avg_likes_num,fb_avg_likes_num_growth,fb_avg_likes_num_merged,fb_avg_shares_num,fb_avg_shares_num_growth,fb_avg_shares_num_merged,fb_engagement,fb_followers,fb_followers_growth,fb_followers_merged,fb_likes,fb_likes_growth,fb_likes_merged,fb_score,fb_username,final_score,ig_avg_comments_num,ig_avg_comments_num_growth,ig_avg_comments_num_merged,ig_avg_likes_num,ig_avg_likes_num_growth,ig_avg_likes_num_merged,ig_engagement,ig_followers,ig_followers_growth,ig_followers_merged,ig_score,ig_username
CHRISTIAN LACROIX,1.0,Candle,Décor,Design,M&O Paris Sep 2018,,,,,,,,,,,,0.2615737384185997,0.1575159451089114,0.1966263367586437,0.261580270224989,0.1485925242031533,0.1895243817360659,0.19187046118990125,WeltonLondon,0.23360625206288751,,,,,,,,,,,,weltonlondon
MARC VIDAL,2.0,Game,Gifts,Stationery,M&O Paris Sep 2018,,0.23045420924227858,0.36652826396398,0.2829831193639761,0.23974970576248897,0.3931016686064248,0.2978456339045386,0.2355297126339269,0.3294158929345726,0.2746715076112611,0.28990845166149787,0.26139637192846266,0.7855421016322105,0.3922634625611924,0.261403612488697,0.5059534162937129,0.34471059965406775,0.48558195097589457,marcvidalsarl,0.39250434344225377,,,,,,,,,,,,
SmartShow,3.0,Lifestyle,Bottles Aug,Drinkware,,,,,,,,,,,,,,,,,,,,,0.22329295968029808,,,,,,,,0.24211336241574308,0.11606712745808331,0.15691196639276608,0.1654992554577246,smartshow001
PlayHao,4.0,Kids,Toy,Siblings,,,,,,,,,,,,,0.26151349791582523,0.194188761897283,0.2228779045358644,0.26151902397024807,0.19608577668411817,0.22412422622992131,0.2228295722655321,Playhao,0.24993205448330522,0.2291499052439433,0.2960097084259565,0.2583237357613397,0.22838309910723123,0.16614202851526702,0.19235292612634525,0.20547125723577078,0.2423836876974798,0.5091063019830543,0.328411727632294,0.27437027069354963,playhao
HJEM,5.0,Candles,Lifestyle,,,,0.23245890161171912,0.15832934641642463,0.18836321791443852,0.24026986088077046,0.371458043736187,0.29179696338169214,0.2323189180540796,0.5339540668413658,0.3237687705148252,0.26768547756883937,0.2614672237418147,0.18831888889456233,0.21894503042254307,0.26147251237546904,0.19230674722881172,0.22161845117611154,0.24079417923796823,myhjem,0.24617343680610596,0.2325054256916715,0.28652714439069216,0.2567049527092503,0.23250930743966244,0.24779691379289578,0.23990981696560387,0.24389914320834963,0.24244802399414395,0.25768430546949933,0.24983408188142361,0.2514376368465408,myhjem
Leatherweight,6.0,Lifestyle,Home,Tech,,,,,,,,,,,,,0.26138317784773507,0.03764712706329724,0.06581490602813518,0.2613924156370693,0.03734927818296484,0.06535959491765697,0.06834698765997056,hkgleeman,0.19621518653089193,,,,,,,,,,,,
SUD TRADING COMPANY,7.0,Décor,Design,Fashion,M&O Paris Sep 2018,,,,,,,,,,,,0.2613865544695349,0.30890903560249067,0.2831677812919587,0.26139521539762,0.3238083464942642,0.2892735382736884,0.2902187816099821,sudtradingcompany,0.2797824416646761,,,,,,,,,,,,
TOUCHABLE,8.0,Furniture,Lighting,Accessories,M&O Paris Sep 2018,,0.2279460815250488,0.338570960090063,0.27245755379460024,0.24031099932240044,0.056086640682258875,0.09094699047386581,0.22899463336150674,0.33460974004990435,0.27190645905788335,0.12396403248124972,0.261390526251132,0.610576471422417,0.3660663892268459,0.2613995224215257,0.5506301129013552,0.35450540788722207,0.20938912165490253,touchablebangkok,0.24101171381898104,,,,,,,,,,,,
KIFU PARIS,9.0,Furniture,Home,Décor,M&O Paris Sep 2018,,,,,,,,,,,,,,,,,,,,0.371716839365231,0.23018501150093157,0.5405971349721721,0.3228859368378801,0.23085014764205652,0.5209961241162064,0.3199378295562949,0.3206697977669884,0.24271902654685737,0.8946626074209566,0.38184481035365975,0.45168277497248066,kifuparis
Black Design,10.0,Lifestyle,Glamping,Outdoor,,,,,,,,,,,,,0.26285456117579514,0.6777133906303547,0.37879252754683823,0.2628030081251989,0.6431423788374719,0.37313452718811246,0.3658841937884457,BLACKDesignTW,0.3210924566170421,,,,,,,,,,,,
