Unnamed: 0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
0.0,WeltonLondon,weltonlondon,CHRISTIAN LACROIX,Candle,Décor,Design,M&O Paris Sep 2018,,1,3419.6176417518845,3475.826636728445,,,,,,,,,,,,-0.08918762711730013,-0.04127896413329066,,,,,,
1.0,marcvidalsarl,,MARC VIDAL,Game,Gifts,Stationery,M&O Paris Sep 2018,,2,332.78789452103973,376.70974924882853,12.116573679188745,1.0764596068159231,5.3553186127776415,2.0,,,,,,,,0.11112018571821201,0.2372577166562893,-0.0019323386141225137,0.006099781142647207,-0.00011253756765487982,,,
2.0,,smartshow001,SmartShow,Lifestyle,Bottles Aug,Drinkware,,,3,,,,,,,1217.1850583454311,741.8038717867381,64.0,,,,,,,,,,-0.13679179216008439,,
3.0,Playhao,playhao,PlayHao,Kids,Toy,Siblings,,,4,2349.5834673728864,2423.3992371123677,,,,,62.0,1375.0517101147652,355.09608878918294,,-2.806089223253435,0.2884260987139069,-1.0281836425879216,0.1068000036963696,0.1314542708537601,,,,1.2681463229262957,-0.019523142102388105,-0.12880862016558542
4.0,myhjem,myhjem,HJEM,Candles,Lifestyle,,,,5,1536.8706119226895,1614.8632472680927,42.386105951097214,1.9309617327711448,6.268647447365312,1.43682901986351,1042.067005825333,1525.6912947482147,989.8560026733467,,59.06753148851753,2.207245876408674,59.30765874624989,0.05063147530826038,0.05689544051948153,-0.011195044717407477,0.0038197436247529963,0.0032097911854908345,0.5430930548605892,-0.00020368161978456974,0.007724748028456482
5.0,hkgleeman,,Leatherweight,Lifestyle,Home,Tech,,,6,137.09425081038006,146.11587867073362,,,,,,,,,,,,-0.08239302095143179,-0.08229026206987265,,,,,,
6.0,sudtradingcompany,,SUD TRADING COMPANY,Décor,Design,Fashion,M&O Paris Sep 2018,,7,186.0277410184507,205.13004979243493,,,,,,,,,,,,0.04541501089342981,0.046147136493275315,,,,,,
7.0,touchablebangkok,,TOUCHABLE,Furniture,Lighting,Accessories,M&O Paris Sep 2018,,8,261.3041288495335,274.5453660345118,2.3275247993289883,-0.34663641425117064,6.3408237899178514,0.8480026940566494,,,,,,,,0.10486441620632041,0.12468541728866929,-0.011505095228064297,-0.09073034866011338,-0.013153521436766792,,,
8.0,,kifuparis,KIFU PARIS,Furniture,Home,Décor,M&O Paris Sep 2018,,9,,,,,,,0.0,2159.929376596434,751.9416341928967,,14.06242159246712,0.8824276452055605,35.54919492354385,,,,,,4.6086758124988485,0.006998527301557375,0.10861744334534293
9.0,BLACKDesignTW,,Black Design,Lifestyle,Glamping,Outdoor,,,10,24748.35374158894,25815.446975009545,,,,,,,,,,,,9.574553349051934,10.514674665625872,,,,,,
