,brandID,brand,final_score,fb_score,fb_followers_merged,fb_engagement,ig_score,ig_followers_merged,ig_engagement,fb_followers,fb_followers_growth,fb_followers_merged,fb_avg_comments_num,fb_avg_comments_num_growth,fb_avg_comments_num_merged,fb_avg_likes_num,fb_avg_likes_num_growth,fb_avg_likes_num_merged,fb_avg_shares_num,fb_avg_shares_num_growth,fb_avg_shares_num_merged,ig_followers,ig_followers_growth,ig_followers_merged,ig_avg_comments_num,ig_avg_comments_num_growth,ig_avg_comments_num_merged,ig_avg_likes_num,ig_avg_likes_num_growth,ig_avg_likes_num_merged
1017,1022.0,Hydro Flask,0.8575389038357755,0.7230941070192974,0.42764877655628986,0.4631476398674854,0.9735917294110972,0.7518088912861773,0.9978945625876372,0.27321704392332224,0.9836311686933494,0.42764877655628986,0.3511675347998716,0.9606996885288452,0.5143303153007345,0.2678456827055714,0.9999979658470628,0.4225207708730651,0.4789049310557908,0.7070870240416971,0.5710451256329108,0.6075203755975056,0.9859840385365788,0.7518088912861773,0.9999999999669228,1.0,0.9999999999834616,0.9944051329914806,0.9999999999902802,0.9971947189035932
2610,2951.0,Fourth Ray Beauty,0.8567248050409255,0.7913490217546275,0.41639141634642,0.7230941976935368,0.917453818408762,0.608411033499015,0.8235162279029206,0.2629383442805176,0.9999999759979784,0.41639141634642,0.9956661792911576,1.0,0.9978283839482706,0.5767461319984288,0.999999983563672,0.7315649828802446,0.3819352921920486,0.9947633681614452,0.5519511983590255,0.43720599124734094,0.999999999966501,0.608411033499015,0.998763185957828,0.99999999999993,0.9993812103149932,0.7772363322475545,0.7785386920953128,0.7778869670601077
2709,3108.0,Søstrene Grene,0.8035660629986509,0.5540509420941682,0.5786771450822592,0.28543269730822696,0.9922017883328312,0.9430224082248256,0.8106211104227868,0.4071398308588325,0.999999992934104,0.5786771450822592,0.2348130908703134,0.17882064953849194,0.2030271001977309,0.2456331245930332,0.4785414088161494,0.3246334027828777,0.2461615394375916,0.37895044396912825,0.2984522041942881,0.8921877016461021,0.99999999991383,0.9430224082248256,0.4763324833656818,0.6399653574882258,0.5461558319725668,0.9355613975022136,0.999871241329802,0.9666478874979576
1165,1170.0,MR. WONDERFUL,0.7569868728661735,0.39273456101718796,0.4408760615437489,,0.995900505053619,0.9863066857948988,0.9995333140398036,0.33860945743885124,0.6316450947901789,0.4408760615437489,,,,,,,,,,0.9731326943095028,0.9998422637759358,0.9863066857948988,0.9999997943279416,1.0,0.9999998971639602,0.9987565397220628,1.0,0.9993778830721872
1015,1020.0,Kmart Australia,0.7550112961602677,0.4060488229328905,0.4938605787383392,,0.9875264391670884,0.9012643681735608,0.7487283368513056,0.3278983469572189,0.9999997049425222,0.4938605787383392,,,,,,,,,,0.8202741816937128,0.9999998605128788,0.9012643681735608,0.7017242273046775,0.5410834130213833,0.6110218952471079,0.6805220567709062,0.9989351764437512,0.809544187741067
955,960.0,Skiphop,0.7488137444328502,0.5590622808988118,0.4119213029897669,0.32803539558522826,0.8993850197659008,0.6698313960278082,0.5354958506896729,0.2809343424108441,0.7717563252299,0.4119213029897669,0.6413269977252268,0.99925052464628,0.7812448119128108,0.2628992592543684,0.23453249683260105,0.2479070502993305,0.3702148550354534,0.9796770433246254,0.537363021463577,0.5055121847278122,0.9924235221008574,0.6698313960278082,0.9693615050866634,0.9999556387448476,0.9844209258318763,0.3563446818371932,0.6683064774423895,0.4648361677380654
2348,2500.0,Biossance,0.7414246028824355,0.6150686823649605,0.4119717316577859,0.3706983089454847,0.8491827833232287,0.5491347179446431,0.5824572126621054,0.2650942782291019,0.9238223834804596,0.4119717316577859,0.24450329096182974,0.6664060089983465,0.3577490367569151,0.2530413056350172,0.8338672003379143,0.3882623862821755,0.2473675218719188,0.5292214200164138,0.3371466785830755,0.3784877882916304,0.999999645066894,0.5491347179446431,0.9633169494076192,0.9999999471871838,0.9813157521365248,0.3811642991494153,0.7840651221169808,0.5129592976367089
1012,1017.0,Arcteryx,0.7337266520679905,0.39441784400097984,0.4462403191580129,,0.9597625561790908,0.8120729261555448,0.6065481546708078,0.2886017794729354,0.9833732762734648,0.4462403191580129,,,,,,,,,,0.6836062766590949,0.9999973380790628,0.8120729261555448,0.29045286632910683,0.2961920987172407,0.2932944086536551,0.8903125482360749,0.9997667730987472,0.9418704213648436
2608,2948.0,Summer Fridays,0.7233397590244764,0.5275759900479254,0.41461849055987104,0.30529637392752834,0.8764156483633359,0.5603128688585781,0.6861261521657505,0.2615382763942268,0.9998206048865518,0.41461849055987104,,,,0.2403736142159633,0.555415869585704,0.3355342654879604,,,,0.3892029687835584,0.9999191322252842,0.5603128688585781,0.9284027149388792,0.9999352487906266,0.9628422166670809,0.4605365270205665,0.9777278131757382,0.6261427178120962
2755,3187.0,Drunk Elephant Skin Care,0.704723616734837,0.20711234377783846,0.3817841956418089,0.1076146265900029,0.974871903904564,0.8329333317048234,0.6708280968842072,0.2644345007205598,0.6863857392264741,0.3817841956418089,0.25155360006263305,0.08795304657082856,0.1303356250651249,0.30046614028093394,0.052851370493626385,0.08989108559020767,0.2517382954136196,0.14578637568779068,0.18464269706073988,0.7136981596398436,0.9999999972505472,0.8329333317048234,0.5774935609346148,0.37931104298094503,0.4578775729474234,0.7573985858336891,0.8341088746996183,0.7939050212395775
